featureID	sC0C	s1C3A	s1C3B	s1C5A	s1C5B	s1C7A	s1C7B	s1C10A	s1C10B	s1C20A	s1C20B	s2C3A	s2C3B	s2C5A	s2C5B	s2C10A	s2C10B	s1M3A	s1M3B	s1M3C	s1M5C	s1M5A	s1M5B	s1M7A	s1M7B	s1M7C	s1M10A	s1M10B	s1M10C	s2M3A	s2M3B	s2M3C	s2M5A	s2M5B	s2M7A	s2M7B	s2M10B	s2M10A	s2M10C	s3M3A	s3M3B	s3M3C	s3M5A	s3M5B	s3M5C	s3M7A	s3M7B	s3M7C	s3M10A	s3M10B	s3M10C	s1G3A	s1G3B	s1G3C	s1G5A	s1G5B	s1G5C	s1G7A	s1G7B	s1G7C	s1G10A	s1G10B	s1G10C	s2G3A	s2G3B	s2G3C	s2G5A	s2G5B	s2G5C	s2G7A	s2G7B	s2G7C	s2G10A	s2G10B	s2G10C	s3G3A	s3G3B	s3G3C	s3G5A	s3G5B	s3G5C	s3G7A	s3G7B	s3G7C	s3G10A	s3G10B
OTU_437	5638	5709	8666	4572	10857	5950	3277	4542	3557	7494	12257	2828	3534	1984	3967	6210	5377	996	1573	926	445	658	824	316	223	785	1512	1696	1328	1693	1663	1499	1421	1708	2253	1749	1773	4375	4372	783	976	942	1563	2279	1501	2924	3046	2624	2833	1645	2626	3961	2303	2575	1829	1924	1804	3845	3161	2421	3858	2140	4934	6373	8881	7339	3806	4222	5364	9485	8196	9770	11177	9005	6826	1241	1654	2006	2689	4407	4047	8179	5361	6827	11440	4965
OTU_444	0	2	3	4	1	3	4	1	1	1	0	3	9	2	0	1	0	9	8	9	11	15	10	3	3	7	8	13	13	6	6	4	3	3	1	0	4	1	0	0	1	4	3	0	1	1	0	0	1	0	1	5	2	2	1	2	0	1	2	0	2	2	2	2	2	3	6	0	0	1	1	0	0	0	0	6	4	7	0	0	0	0	0	0	3	3
OTU_446	2	1	3	3	2	4	8	5	18	8	20	9	7	13	24	50	81	4	2	0	1	0	1	1	1	1	0	0	4	0	1	0	1	1	2	2	9	4	0	1	1	0	8	24	19	14	35	27	11	12	22	1	0	1	1	0	1	2	5	2	1	1	1	1	3	1	4	11	3	41	37	49	78	37	44	2	2	4	18	48	53	106	67	72	76	42
OTU_448	0	2	3	2	1	0	4	0	0	0	0	0	2	0	2	0	0	8	10	3	4	2	4	4	2	6	4	10	8	5	1	2	3	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2	2	1	1	0	1	1	0	0	1	0	0	2	1	0	1	1	0	1	0	2	0	0	0	0	0	0	0	1	2	0	3	1	0	0	0	2	2
OTU_451	0	0	0	9	6	10	9	2	3	0	2	11	7	8	60	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	1	2	52	30	0	1	10	11	7	23	79	60	31	1	45	15	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	32	70	33	34	59	45	2	3	1	5	8	8	0	3	10	2	2	12	0	2
OTU_453	6	13	10	4	17	11	12	2	6	1	6	5	8	3	4	4	7	0	0	0	1	0	0	1	0	1	0	1	1	11	7	7	4	9	9	9	2	23	22	5	3	4	8	7	4	11	3	10	5	2	9	2	1	4	3	2	8	2	1	2	2	3	1	12	8	14	4	6	9	6	13	6	7	6	2	4	3	1	5	10	11	10	9	9	6	6
OTU_455	0	3	6	0	3	0	1	1	0	0	1	4	5	3	2	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1	3	1	2	3	2	2	0	1	3	2	3	2	3	4	1	1	2	3	3	3	0	8	5	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	2	1	0	1	0	2	2	1	2	4	0
OTU_457	34	4	13	6	87	5	6	37	42	57	50	34	15	7	152	125	43	3	1	2	2	4	5	0	6	28	29	127	85	2	23	3	6	15	15	23	18	71	33	6	2	4	385	295	75	157	674	273	385	210	238	3	3	12	4	3	10	0	7	5	3	8	9	2	27	5	7	20	4	72	67	137	446	498	326	20	2	11	121	28	180	210	130	104	167	171
OTU_460	1	0	1	0	0	0	1	0	1	1	0	0	1	0	6	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	2	0	7	3	0	1	1	6	5	2	2	2	6	2	4	6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	2	4	2	0	4	1	0	1	1	1	1	3	2	5	6	3	2	3	3
OTU_464	1	0	1	0	3	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	2	1	1	1	1	1	10	1	0	3	0	6	6	2	3	2	5	2	1	5	0	1	0	1	2	0	0	0	1	1	2	0	2	1	5	0	2	2	4	6	8	1	3	3	1	0	0	0	2	2	5	2	2	7	2
OTU_467	14	14	22	23	24	25	41	13	9	8	2	69	68	4	26	1	0	103	104	52	104	126	120	42	52	74	127	86	117	62	45	40	69	25	36	24	63	5	3	5	47	54	19	8	10	7	2	15	27	30	27	33	21	30	10	26	18	17	10	8	7	16	13	27	20	28	62	41	57	8	9	5	1	3	4	50	62	80	2	11	12	2	4	9	22	33
OTU_468	5	0	2	0	2	3	0	5	3	2	1	2	0	2	1	2	2	0	1	1	0	0	1	0	0	0	1	2	1	0	0	0	0	1	0	0	1	14	3	0	0	0	1	2	1	0	1	2	10	1	4	1	0	1	0	0	0	0	0	1	3	3	4	1	1	0	1	0	0	1	1	2	6	3	0	0	0	1	2	5	4	11	2	8	5	6
OTU_471	8	4	7	5	7	5	2	5	5	8	14	1	1	0	2	2	5	2	0	1	3	1	0	0	1	0	5	7	2	4	4	7	0	9	11	3	5	25	7	1	0	1	2	1	1	4	2	2	5	2	1	5	4	2	2	6	6	6	2	3	2	0	3	8	6	9	5	1	3	2	7	4	3	10	2	1	1	0	0	3	2	3	2	2	2	2
OTU_474	19	2	1	3	5	8	5	6	9	5	24	4	8	4	13	16	13	6	7	5	1	1	1	0	0	0	7	0	0	0	4	1	7	7	9	17	19	23	9	1	2	1	9	18	0	8	7	6	14	12	11	4	2	0	0	0	0	0	0	1	0	1	1	0	0	2	0	1	1	1	1	6	8	3	6	0	0	1	2	19	16	2	17	14	8	7
OTU_477	1	3	1	5	0	1	4	3	2	2	2	2	1	3	2	2	2	0	0	0	0	0	0	0	0	1	1	0	1	2	2	1	3	3	4	0	1	2	5	0	1	2	4	3	1	2	0	3	2	2	1	1	0	0	2	1	2	0	1	0	0	1	0	1	1	0	1	4	3	0	0	2	1	0	2	0	3	0	0	4	5	5	6	1	3	4
OTU_480	6	0	4	3	3	2	1	6	5	4	0	1	0	0	3	1	2	4	5	6	1	2	0	0	0	2	14	3	1	1	0	0	3	1	1	1	1	5	0	0	0	0	0	0	1	0	0	0	2	0	0	4	5	9	0	0	1	0	0	0	0	2	2	0	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0
OTU_484	111	197	308	217	252	233	266	114	97	105	128	304	350	49	142	122	126	171	250	130	278	249	245	80	87	200	266	187	270	450	507	205	287	269	254	137	163	245	288	240	171	192	400	280	238	284	189	334	164	146	236	229	81	251	170	283	284	174	167	118	73	118	194	357	295	563	261	117	234	136	188	189	154	156	83	131	155	200	51	207	215	223	214	202	241	120
OTU_488	2	0	1	0	5	0	0	4	3	6	2	4	3	0	12	9	9	0	0	0	2	2	2	0	1	2	1	13	10	1	3	0	2	0	3	1	1	8	3	1	0	0	38	31	6	17	59	30	36	17	14	0	0	1	4	6	4	0	1	0	1	2	7	0	2	2	1	0	3	9	9	19	34	36	29	0	1	1	8	3	14	16	5	6	20	10
OTU_491	0	0	1	0	5	5	5	1	1	1	1	5	2	3	9	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	4	2	4	4	1	0	0	1	3	2	4	9	1	5	0	12	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	7	9	5	3	2	5	1	2	0	0	1	0	2	4	7	4	5	3	0	2
OTU_494	0	1	3	0	2	1	0	4	0	2	5	0	2	0	1	3	3	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	2	3	2	1	0	4	0	1	0	0	1	0	0	0	2	2	1	1	1	3	0	2	2	0	0	1	0	2	1	1	2	0	0	2	0	2	0	3	2	1	2	3	3	1	0	1	1	1	1	0	1	1	7	2
OTU_495	2	2	4	0	3	2	2	1	1	1	0	0	1	1	3	1	1	0	1	1	1	0	0	1	0	0	0	0	0	4	4	5	0	1	0	3	0	5	4	1	1	1	3	4	3	3	2	0	4	1	1	2	0	2	0	1	1	0	0	0	0	1	1	2	1	4	2	1	0	1	2	2	0	0	2	0	0	0	0	3	5	4	4	4	4	0
OTU_500	3	0	1	1	3	0	0	1	1	1	2	2	1	0	7	3	1	0	0	0	1	0	0	0	0	0	0	9	6	0	2	0	0	1	0	0	1	8	3	2	0	0	17	13	2	11	21	14	9	6	5	0	0	2	1	0	0	0	0	1	0	0	0	1	0	0	1	2	2	1	4	12	22	14	17	0	0	1	2	0	5	8	4	2	5	5
OTU_506	1	0	2	0	5	0	0	2	2	1	4	4	3	0	5	2	1	0	1	1	3	1	1	0	0	1	0	8	4	0	0	0	0	1	0	0	1	4	0	0	0	0	9	11	5	7	8	2	16	9	11	1	2	3	1	0	0	0	0	0	1	1	2	0	1	0	0	2	2	0	4	4	8	11	3	1	1	0	0	0	2	4	2	0	5	4
OTU_518	5	3	4	4	7	0	2	1	2	5	9	2	0	0	0	1	0	0	0	0	0	1	1	1	1	0	3	1	2	0	1	6	4	4	2	4	3	8	6	0	1	1	1	1	2	0	0	0	0	0	1	1	2	0	2	1	0	3	3	2	2	0	1	3	3	4	1	4	2	3	3	5	3	6	5	0	2	0	0	1	1	2	1	0	2	3
OTU_521	9	4	9	357	214	603	918	105	140	6	8	412	282	208	1109	9	13	4	1	4	4	8	1	1	3	2	2	2	6	3	5	8	7	11	85	935	427	3	0	35	141	53	78	530	244	207	12	329	81	7	32	4	7	2	4	4	3	3	1	3	0	0	0	12	3	70	448	1174	488	448	779	606	28	12	16	76	111	75	11	84	140	52	49	116	4	6
OTU_522	3	0	1	0	3	2	0	7	1	7	7	0	0	0	6	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	2	6	1	0	0	0	0	0	0	1	0	0	3	0	2	1	2	1	0	0	0	1	0	1	0	3	2	1	2	1	1	1	0	1	4	3	10	4	2	1	0	0	1	3	1	7	4	5	3	5
OTU_530	3	1	4	7	3	4	5	4	3	1	0	13	9	0	8	1	1	25	18	18	28	21	25	3	8	13	15	15	17	14	15	8	12	7	6	3	7	2	1	0	9	9	3	1	2	3	1	8	3	4	3	15	10	12	20	12	13	10	11	4	0	6	2	6	4	9	12	7	10	1	4	2	0	1	2	13	6	13	0	4	2	0	2	2	4	5
OTU_536	1	1	0	24	16	23	31	8	5	0	0	25	10	6	40	1	1	0	1	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	4	41	18	0	0	3	8	1	0	26	14	5	1	24	5	0	0	1	0	2	1	0	0	0	0	0	0	0	0	2	0	4	26	43	23	17	29	34	2	0	2	4	3	7	1	4	4	5	0	4	0	1
OTU_537	0	0	0	0	1	0	0	0	0	0	4	1	0	0	1	2	2	0	0	1	1	0	1	0	0	0	2	2	1	3	3	1	1	1	1	2	0	2	3	0	0	0	2	1	2	0	1	4	1	0	1	4	3	2	1	6	5	4	2	3	2	0	2	0	4	2	1	0	1	3	0	2	1	2	0	0	0	2	1	1	0	2	1	2	3	4
OTU_540	17	20	31	6	11	21	19	9	10	8	18	12	17	4	24	15	15	1	1	0	0	2	1	0	1	2	3	2	1	17	29	19	16	23	20	12	3	28	37	9	6	4	11	16	9	13	7	22	15	10	20	8	9	12	12	7	16	4	4	1	0	5	4	24	18	30	12	13	13	15	18	14	9	7	4	5	4	4	8	21	29	15	24	27	9	7
OTU_542	31	17	22	21	28	20	14	25	13	21	53	8	8	0	4	11	18	2	6	1	2	2	7	3	2	4	27	11	14	23	29	20	38	20	32	21	14	81	19	0	2	2	7	11	9	5	8	12	12	3	5	18	12	14	14	15	23	10	26	11	4	4	18	15	20	29	5	10	11	18	15	19	13	42	13	1	1	1	0	7	2	3	4	5	12	3
OTU_543	1	0	0	2	1	0	1	2	1	1	1	1	1	0	3	3	2	0	0	0	0	0	0	1	0	0	0	0	1	5	4	8	1	7	5	2	2	12	4	31	6	5	29	11	24	17	6	10	13	6	11	1	0	3	1	0	0	1	1	1	1	0	4	10	1	7	1	7	3	3	7	3	8	3	2	0	0	0	2	4	3	4	1	7	3	0
OTU_548	4	9	8	11	7	10	13	5	7	5	13	35	21	8	19	15	18	23	36	14	46	41	61	3	10	21	32	32	37	37	34	31	37	33	32	20	26	79	29	9	12	12	23	32	7	12	21	21	13	12	15	52	25	44	93	71	94	42	89	43	20	14	35	30	41	32	24	10	25	35	33	45	76	20	18	22	21	12	15	33	28	29	40	32	26	30
OTU_549	13	3	4	1	20	2	0	11	8	8	12	7	2	1	31	15	7	1	1	0	2	0	1	0	0	3	2	16	12	0	5	0	0	2	5	4	4	20	9	0	0	0	55	27	9	18	119	63	72	47	44	0	2	3	1	0	0	2	3	0	1	5	2	2	5	1	2	4	4	7	8	30	90	67	28	5	0	2	22	3	20	31	27	19	32	26
OTU_556	2	1	1	0	6	0	0	0	0	1	2	1	0	0	1	2	4	0	0	0	1	0	0	0	0	0	1	8	10	0	1	0	0	0	1	0	1	1	0	1	0	0	12	6	0	3	7	4	5	1	6	0	2	3	1	2	0	1	1	1	0	0	2	0	0	0	0	0	0	0	1	2	3	3	0	0	0	0	0	1	3	3	0	1	1	3
OTU_559	5	5	7	2	4	3	3	12	1	12	10	14	11	5	9	12	13	11	7	1	3	10	6	2	1	5	13	10	16	9	22	21	13	17	17	9	12	43	18	4	3	8	30	29	9	12	29	15	23	4	10	41	9	18	47	56	33	33	32	37	10	9	45	44	49	76	18	10	19	37	40	35	27	34	16	6	4	9	2	19	20	40	16	30	34	8
OTU_562	0	2	3	2	2	4	1	0	1	0	0	1	2	0	1	0	1	4	3	2	7	6	5	1	3	2	6	7	9	1	3	1	1	2	1	0	1	0	0	0	0	1	3	1	1	0	0	2	1	1	0	2	0	3	1	1	3	2	0	1	2	0	0	0	1	0	2	0	2	0	0	1	0	0	0	2	0	4	0	0	2	0	0	0	1	2
OTU_563	3	3	5	1	2	3	0	4	2	2	2	7	2	2	8	13	7	3	6	0	3	3	9	2	0	3	2	1	6	7	11	7	4	7	7	7	4	19	14	2	2	2	13	13	4	8	18	12	7	8	3	17	11	14	38	45	25	29	22	27	8	7	13	10	11	17	5	10	12	13	16	24	9	7	8	4	0	1	6	10	7	10	14	15	9	5
OTU_565	38	49	104	47	67	69	51	39	36	23	40	52	40	30	68	45	41	3	7	4	2	3	4	2	3	5	12	8	11	61	77	45	37	62	76	39	25	88	138	31	22	22	84	66	41	88	39	87	54	32	71	19	14	44	29	29	27	20	19	13	14	24	23	77	70	91	32	42	51	51	64	57	38	44	16	17	23	14	24	64	118	75	108	92	55	52
OTU_567	3	3	7	1	12	10	2	5	4	3	4	17	17	6	7	10	8	6	16	4	10	14	15	1	0	7	9	4	8	12	30	17	14	21	10	9	6	16	13	2	5	7	14	26	8	3	16	10	20	12	10	42	26	42	64	62	85	46	47	42	19	16	35	13	27	34	10	6	11	18	19	27	11	15	7	5	9	10	10	12	10	21	21	17	30	14
OTU_569	15	15	16	172	136	204	253	73	37	30	31	280	212	30	253	32	27	15	14	15	29	23	24	9	6	13	30	12	26	10	18	29	24	26	58	239	198	6	6	43	77	42	103	322	236	185	36	265	76	9	28	9	11	16	22	16	18	14	14	7	10	10	14	18	13	89	314	262	280	289	514	347	51	40	39	56	78	66	16	77	88	62	45	106	16	7
OTU_583	11	11	12	17	11	8	20	4	3	2	2	34	40	7	11	0	0	54	67	46	60	63	61	25	28	41	69	42	59	37	27	31	27	9	9	13	22	2	7	3	26	40	2	2	4	2	2	5	8	9	18	19	7	21	6	9	5	5	7	2	2	12	4	7	3	5	24	22	28	4	4	2	0	0	2	21	26	32	0	6	2	3	5	1	15	19
OTU_584	35	13	31	18	39	62	53	146	159	169	348	87	70	58	257	584	1001	8	5	8	5	9	3	1	3	6	4	5	5	0	4	4	8	22	25	13	100	55	22	20	6	9	66	189	175	131	416	346	146	266	301	11	6	7	10	10	8	21	27	26	3	13	27	19	21	9	60	69	50	450	466	587	806	516	464	59	24	46	299	512	700	1581	847	826	1297	621
OTU_585	1	0	1	2	5	4	3	3	1	3	7	1	3	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	1	0	0	2	1	0	0	0	0	0	2	0	0	0	0	1	1	2	0	0	3	2	2	1	1	0	0	1	1	2	1	3	0	1	3	0	0	8	2	0	2	2	4	2	0	4	3	0	0	0	0	1	2	3	0	0	2	2
OTU_589	6	15	23	9	11	14	16	10	3	3	9	7	11	7	17	11	10	1	2	0	0	0	1	1	0	0	1	2	1	6	17	5	8	12	7	2	2	16	31	1	3	0	10	11	7	10	5	11	4	5	13	5	3	5	3	10	4	1	4	2	1	4	2	23	24	21	12	7	12	14	13	12	15	14	6	3	2	5	6	12	28	21	28	15	17	16
OTU_591	26	17	44	15	41	42	38	29	18	11	22	33	40	18	44	29	28	7	6	1	4	4	2	1	2	3	6	9	4	44	49	22	27	34	44	19	15	59	98	28	13	14	52	51	26	46	20	39	28	19	27	24	12	20	15	17	14	9	10	8	1	14	13	27	30	68	16	27	34	28	29	38	18	27	9	12	16	13	16	38	66	42	52	55	36	23
OTU_594	1	0	0	8	2	7	14	1	3	0	0	10	7	1	15	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	8	8	0	0	0	3	3	1	10	7	2	2	8	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	13	6	11	5	9	10	1	1	0	2	1	7	1	6	3	0	0	5	0	0
OTU_595	1	3	3	1	7	1	1	3	0	3	1	0	0	0	1	0	2	1	0	1	1	0	0	0	0	0	1	1	1	4	2	1	2	2	3	2	0	10	4	0	1	0	0	0	0	2	3	0	0	0	0	1	1	1	0	0	0	2	5	1	1	0	2	2	3	1	0	2	0	2	2	0	1	2	1	0	1	0	1	0	2	0	0	1	1	1
OTU_597	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	3	0	0	3	1	3	1	0	1	2	4	4	2	9	9	5	5	4	3	3	2	5	0	0	1	0	1	0	0	1	4	0	1	4	0	0	3	1	3	3	1	6	2	0	6	1	1	1	0	1	1	2	0	1	2	5	0
OTU_600	5	2	0	0	3	5	2	4	4	3	4	0	0	2	9	3	3	1	1	0	0	0	2	0	0	0	0	0	0	1	6	5	2	4	3	7	3	31	9	13	6	6	27	19	14	15	9	13	31	5	25	0	0	0	0	0	0	0	0	0	2	3	8	3	1	6	3	6	2	4	7	3	5	5	4	4	0	1	2	3	5	13	10	13	22	7
OTU_604	37	39	51	21	75	33	21	19	15	42	55	19	10	12	23	23	22	7	13	5	1	7	7	1	1	6	7	12	7	6	15	8	6	10	12	14	9	33	27	5	5	7	12	16	8	18	11	8	9	14	12	27	5	13	9	8	11	26	18	18	10	8	12	33	49	47	17	25	26	53	37	57	51	40	32	6	7	10	11	27	18	37	27	27	47	23
OTU_608	10	18	23	33	17	29	39	7	9	7	0	48	68	2	22	2	0	114	115	56	117	135	118	56	54	68	129	94	105	85	55	56	59	25	29	17	46	4	4	7	44	49	16	6	8	4	1	19	24	55	52	31	18	30	14	28	12	21	13	8	28	10	27	25	20	25	83	44	63	12	5	9	4	3	3	56	71	71	2	19	10	9	6	10	37	63
OTU_610	5	3	5	1	5	3	5	1	1	1	2	4	1	2	2	2	1	1	0	0	0	0	0	1	0	0	0	3	0	5	4	4	0	3	2	0	1	10	7	2	1	0	1	3	1	3	2	5	2	1	4	2	0	3	0	0	0	1	0	0	1	1	3	2	5	5	1	4	6	5	1	2	1	1	0	0	2	1	2	0	3	5	6	5	3	0
OTU_611	8	3	2	0	6	7	6	13	12	7	10	7	7	9	24	17	26	3	3	3	2	0	1	1	1	0	4	4	3	2	3	3	8	5	4	7	7	20	13	4	1	1	34	24	10	14	27	32	18	21	21	3	0	4	0	1	0	2	4	0	0	0	2	0	0	3	5	7	0	11	10	21	40	32	20	2	1	6	8	24	36	38	27	31	50	29
OTU_615	2	0	1	0	0	1	1	0	0	0	2	0	0	2	0	1	4	0	1	0	0	0	1	1	0	1	0	0	0	1	3	2	2	0	3	4	1	4	4	8	2	4	22	11	11	10	1	8	9	1	5	0	0	0	1	0	1	1	1	1	1	0	5	3	1	4	2	0	0	2	1	1	2	3	1	1	0	0	0	3	0	4	1	1	3	0
OTU_620	61	34	41	32	79	38	27	29	30	59	52	7	10	3	13	23	30	7	16	12	6	7	12	6	4	4	32	23	20	33	32	47	40	39	61	34	31	152	52	5	10	8	10	23	4	8	20	13	17	14	11	40	23	22	32	32	31	33	26	22	10	8	21	29	42	43	16	40	27	36	40	44	27	72	36	3	4	2	2	9	13	12	6	8	18	9
OTU_621	1	1	10	5	13	2	0	0	0	0	1	2	5	0	1	2	4	0	0	0	0	0	0	0	0	1	0	0	0	3	8	2	8	10	6	4	0	1	1	1	4	8	6	3	3	0	3	3	1	1	5	10	7	5	1	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	2	3	1	1	2	3	1	2	3	1	0
OTU_633	3	1	4	0	1	2	0	0	3	1	6	2	2	1	7	2	5	4	4	4	0	1	0	1	0	0	2	2	1	0	0	0	0	0	4	3	7	9	0	0	0	0	3	2	0	3	2	1	5	2	0	1	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	5	0	3	3	0	1
OTU_634	5	1	3	2	7	8	7	17	15	17	15	21	11	9	21	38	61	0	0	2	0	0	0	0	1	0	0	2	0	0	0	0	0	4	1	1	8	5	3	1	0	0	7	14	11	20	25	35	13	24	11	2	0	0	0	0	1	2	6	3	1	1	5	4	1	4	4	6	4	35	18	33	54	34	33	3	0	4	25	26	35	99	39	48	83	47
OTU_636	0	3	2	1	6	3	1	0	2	0	0	6	7	1	3	1	0	4	4	2	12	2	6	2	1	3	8	4	5	10	7	3	4	4	4	4	2	2	4	0	3	3	3	1	3	1	2	4	2	5	1	11	8	8	15	19	23	9	14	5	7	4	9	2	6	6	7	2	5	3	6	6	2	4	0	4	3	8	0	3	2	2	3	3	5	4
OTU_640	4270	2662	3657	2136	4412	2622	1964	2673	1856	4256	5195	672	700	355	561	1372	2390	554	1165	625	314	423	648	359	241	497	2973	1978	2066	2327	3299	3491	3096	2895	4109	2485	2179	12646	4751	319	514	354	699	917	512	860	1432	676	1643	919	1075	3324	1628	2206	1832	2058	2208	1399	1948	1091	1368	686	1559	2294	2927	3977	1162	1824	1822	2364	2722	2396	2049	4055	1821	207	312	248	302	535	498	755	607	602	1442	684
OTU_641	0	0	0	1	3	3	0	5	0	0	3	2	3	1	2	1	2	2	2	1	3	1	3	0	0	1	3	1	1	7	4	0	3	0	2	3	1	6	1	0	2	2	1	7	1	3	6	2	3	1	2	1	4	8	7	7	7	2	7	12	1	1	8	4	4	9	1	3	4	3	5	7	3	2	2	2	0	3	1	3	0	9	4	6	4	1
