	kingdom	phylum	class	order	family	genus	species
OTU_174	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Azospirillum	lipoferum
OTU_175	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Magnetospirillum	g_Magnetospirillum
OTU_176	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Phaeospirillum	g_Phaeospirillum
OTU_177	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Phaeospirillum	AK32
OTU_178	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Phaeospirillum	cystidoformans
OTU_179	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Rhodospirillum	sulfurexigens
OTU_180	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Roseospira	g_Roseospira
OTU_181	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Skermanella	g_Skermanella
OTU_182	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Skermanella	xinjiangensis
OTU_183	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Thalassospira	g_Thalassospira
OTU_184	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	o_Rickettsiales	o_Rickettsiales	o_Rickettsiales
OTU_185	Bacteria	Proteobacteria	Alphaproteobacteria	c_Alphaproteobacteria	Erythrobacteraceae	Altererythrobacter	g_Altererythrobacter
OTU_186	Bacteria	Proteobacteria	Alphaproteobacteria	c_Alphaproteobacteria	Erythrobacteraceae	Porphyrobacter	g_Porphyrobacter
OTU_187	Bacteria	Proteobacteria	Alphaproteobacteria	c_Alphaproteobacteria	Erythrobacteraceae	Porphyrobacter	g_Porphyrobacter
OTU_188	Bacteria	Proteobacteria	Alphaproteobacteria	c_Alphaproteobacteria	c_Alphaproteobacteria	Novosphingobium	g_Novosphingobium
OTU_189	Bacteria	Proteobacteria	Alphaproteobacteria	c_Alphaproteobacteria	c_Alphaproteobacteria	Sandarakinorhabdus	g_Sandarakinorhabdus
OTU_190	Bacteria	Proteobacteria	Alphaproteobacteria	c_Alphaproteobacteria	c_Alphaproteobacteria	Sphingobium	g_Sphingobium
OTU_191	Bacteria	Proteobacteria	Alphaproteobacteria	c_Alphaproteobacteria	c_Alphaproteobacteria	Sphingobium	g_Sphingobium
OTU_192	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	o_Burkholderiales	Achromobacter	g_Achromobacter
OTU_193	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	o_Burkholderiales	Castellaniella	g_Castellaniella
OTU_194	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	o_Burkholderiales	o_Burkholderiales	o_Burkholderiales
OTU_195	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	o_Burkholderiales	Acidovorax	g_Acidovorax
OTU_196	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	o_Burkholderiales	Acidovorax	g_Acidovorax
OTU_197	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	o_Burkholderiales	Albidiferax	g_Albidiferax
OTU_198	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	o_Burkholderiales	Aquabacterium	g_Aquabacterium
OTU_199	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	o_Burkholderiales	Aquincola	g_Aquincola
OTU_200	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	o_Burkholderiales	Aquincola	tertiaricarbonis
OTU_201	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	o_Burkholderiales	Chlorochromatium	g_Chlorochromatium
OTU_202	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	o_Burkholderiales	o_Burkholderiales	o_Burkholderiales
OTU_203	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	o_Burkholderiales	o_Burkholderiales	o_Burkholderiales
OTU_204	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	o_Burkholderiales	Curvibacter	g_Curvibacter
OTU_205	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	o_Burkholderiales	Delftia	g_Delftia
OTU_206	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	o_Burkholderiales	Diaphorobacter	g_Diaphorobacter
OTU_207	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	o_Burkholderiales	Hydrogenophaga	g_Hydrogenophaga
OTU_208	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	o_Burkholderiales	Ideonella	g_Ideonella
OTU_209	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	o_Burkholderiales	Kinneretia	g_Kinneretia
OTU_210	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	o_Burkholderiales	Leptothrix	g_Leptothrix
OTU_211	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	o_Burkholderiales	Leptothrix	FC_170
OTU_212	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	o_Burkholderiales	Leptothrix	HME6321
OTU_213	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	o_Burkholderiales	Limnohabitans	g_Limnohabitans
OTU_214	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	o_Burkholderiales	Mitsuaria	g_Mitsuaria
OTU_215	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	o_Burkholderiales	Ottowia	g_Ottowia
OTU_216	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	o_Burkholderiales	o_Burkholderiales	o_Burkholderiales
OTU_217	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	o_Burkholderiales	Rhodoferax	g_Rhodoferax
OTU_218	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	o_Burkholderiales	Rubrivivax	g_Rubrivivax
OTU_219	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	o_Burkholderiales	Rubrivivax	gelatinosus
OTU_220	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	o_Burkholderiales	Sphaerotilus	g_Sphaerotilus
OTU_221	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	o_Burkholderiales	Variovorax	g_Variovorax
OTU_222	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	o_Burkholderiales	Variovorax	g_Variovorax
OTU_223	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	o_Burkholderiales	o_Burkholderiales	o_Burkholderiales
OTU_224	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Massilia	g_Massilia
OTU_225	Bacteria	Proteobacteria	Betaproteobacteria	Hydrogenophilales	Hydrogenophilaceae	f_Hydrogenophilaceae	f_Hydrogenophilaceae
OTU_226	Bacteria	Proteobacteria	Betaproteobacteria	Methylophilales	Methylophilaceae	Methylobacillus	g_Methylobacillus
OTU_227	Bacteria	Proteobacteria	Betaproteobacteria	Methylophilales	Methylophilaceae	Methylotenera	g_Methylotenera
OTU_228	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	f_Neisseriaceae	f_Neisseriaceae
OTU_229	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	g_Neisseria
OTU_230	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Neisseria	g_Neisseria
OTU_231	Bacteria	Proteobacteria	Betaproteobacteria	c_Betaproteobacteria	c_Betaproteobacteria	c_Betaproteobacteria	c_Betaproteobacteria
OTU_232	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	f_Rhodocyclaceae	f_Rhodocyclaceae
OTU_233	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Azospira	g_Azospira
OTU_234	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Azospira	g_Azospira
OTU_235	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	f_Rhodocyclaceae	f_Rhodocyclaceae
OTU_236	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Propionivibrio	g_Propionivibrio
OTU_237	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Rhodocyclus	g_Rhodocyclus
OTU_238	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Uliginosibacterium	g_Uliginosibacterium
OTU_239	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Rhodocyclaceae	Uliginosibacterium	MIC2059
OTU_240	Bacteria	Proteobacteria	Deltaproteobacteria	c_Deltaproteobacteria	c_Deltaproteobacteria	c_Deltaproteobacteria	c_Deltaproteobacteria
OTU_241	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfarculales	Desulfarculaceae	f_Desulfarculaceae	f_Desulfarculaceae
OTU_242	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	f_Desulfobacteraceae	f_Desulfobacteraceae
OTU_243	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Desulfobacter	g_Desulfobacter
OTU_244	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	Desulfobacter	postgatei
OTU_245	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobacteraceae	f_Desulfobacteraceae	f_Desulfobacteraceae
OTU_246	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobulbaceae	Desulfobulbus	rhabdoformis
OTU_247	Bacteria	Proteobacteria	Deltaproteobacteria	c_Deltaproteobacteria	c_Deltaproteobacteria	Desulfovibrio	g_Desulfovibrio
OTU_248	Bacteria	Proteobacteria	Deltaproteobacteria	c_Deltaproteobacteria	c_Deltaproteobacteria	Desulfovibrio	AND1
OTU_249	Bacteria	Proteobacteria	Deltaproteobacteria	c_Deltaproteobacteria	c_Deltaproteobacteria	Desulfovibrio	BerOc1
OTU_250	Bacteria	Proteobacteria	Deltaproteobacteria	c_Deltaproteobacteria	c_Deltaproteobacteria	Desulfovibrio	burkinensis
OTU_251	Bacteria	Proteobacteria	Deltaproteobacteria	c_Deltaproteobacteria	c_Deltaproteobacteria	Desulfovibrio	carbinoliphilus
OTU_252	Bacteria	Proteobacteria	Deltaproteobacteria	c_Deltaproteobacteria	c_Deltaproteobacteria	Desulfovibrio	enrichment_culture_clone_Jdgsrb015
OTU_253	Bacteria	Proteobacteria	Deltaproteobacteria	c_Deltaproteobacteria	c_Deltaproteobacteria	Desulfovibrio	hydrothermalis
OTU_254	Bacteria	Proteobacteria	Deltaproteobacteria	c_Deltaproteobacteria	c_Deltaproteobacteria	Desulfovibrio	idahonensis
OTU_255	Bacteria	Proteobacteria	Deltaproteobacteria	c_Deltaproteobacteria	c_Deltaproteobacteria	Desulfovibrio	termitidis
OTU_256	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfurellales	Desulfurellaceae	Desulfurella	g_Desulfurella
OTU_257	Bacteria	Proteobacteria	Deltaproteobacteria	c_Deltaproteobacteria	c_Deltaproteobacteria	c_Deltaproteobacteria	acetoxidans
OTU_258	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	o_Myxococcales	o_Myxococcales	o_Myxococcales
OTU_259	Bacteria	Proteobacteria	Deltaproteobacteria	Syntrophobacterales	Syntrophobacteraceae	Syntrophobacter	g_Syntrophobacter
OTU_260	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Arcobacter	g_Arcobacter
OTU_261	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Arcobacter	sw026
OTU_262	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Campylobacteraceae	Sulfurospirillum	g_Sulfurospirillum
OTU_263	Bacteria	Proteobacteria	Gammaproteobacteria	c_Gammaproteobacteria	c_Gammaproteobacteria	c_Gammaproteobacteria	c_Gammaproteobacteria
OTU_264	Bacteria	Proteobacteria	Gammaproteobacteria	c_Gammaproteobacteria	c_Gammaproteobacteria	c_Gammaproteobacteria	c_Gammaproteobacteria
OTU_265	Bacteria	Proteobacteria	Gammaproteobacteria	c_Gammaproteobacteria	c_Gammaproteobacteria	c_Gammaproteobacteria	HT10
OTU_266	Bacteria	Proteobacteria	Gammaproteobacteria	c_Gammaproteobacteria	c_Gammaproteobacteria	c_Gammaproteobacteria	c_Gammaproteobacteria
OTU_267	Bacteria	Proteobacteria	Gammaproteobacteria	c_Gammaproteobacteria	c_Gammaproteobacteria	Aliagarivorans	g_Aliagarivorans
OTU_268	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	f_Chromatiaceae	f_Chromatiaceae
OTU_269	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Allochromatium	MT6010
OTU_270	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Allochromatium	MTCH3IM013
OTU_271	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Allochromatium	minutissimum
OTU_272	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Allochromatium	vinosum
OTU_273	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Halochromatium	g_Halochromatium
OTU_274	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Rheinheimera	g_Rheinheimera
OTU_275	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Thiococcus	pfennigii
OTU_276	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Thiorhodococcus	TcyfPS10
OTU_277	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Thiorhodococcus	drewsii
OTU_278	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Halothiobacillaceae	Thiovirga	g_Thiovirga
OTU_279	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	f_Enterobacteriaceae	f_Enterobacteriaceae
OTU_280	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Citrobacter	g_Citrobacter
OTU_281	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Citrobacter	ChDC_B324
OTU_282	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Citrobacter	ChDC_B325
OTU_283	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Citrobacter	I91-6
OTU_284	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Citrobacter	KMSI-3
OTU_285	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Citrobacter	KTE151
OTU_286	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Citrobacter	LSRC194
OTU_287	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Citrobacter	OC9
OTU_288	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Citrobacter	enrichment_culture_clone_BR19
OTU_289	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Citrobacter	freundii
OTU_290	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Citrobacter	g_Citrobacter
OTU_291	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Enterobacter	g_Enterobacter
OTU_292	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Enterobacter	B5(2012)
OTU_293	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Enterobacter	g_Enterobacter
OTU_294	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Erwinia	g_Erwinia
OTU_295	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Klebsiella	g_Klebsiella
OTU_296	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Pantoea	g_Pantoea
OTU_297	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Pantoea	g_Pantoea
OTU_298	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Raoultella	g_Raoultella
OTU_299	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Raoultella	g_Raoultella
OTU_300	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Salmonella	g_Salmonella
OTU_301	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Tatumella	g_Tatumella
OTU_302	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	f_Enterobacteriaceae	f_Enterobacteriaceae
OTU_303	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Coxiellaceae	Coxiella	g_Coxiella
OTU_304	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Coxiellaceae	Rickettsiella	g_Rickettsiella
OTU_305	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	o_Oceanospirillales	o_Oceanospirillales	o_Oceanospirillales
OTU_306	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	f_Oceanospirillaceae	f_Oceanospirillaceae
OTU_307	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	g_Haemophilus
OTU_308	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	g_Haemophilus
OTU_309	Bacteria	Proteobacteria	Gammaproteobacteria	c_Gammaproteobacteria	Moraxellaceae	Acinetobacter	g_Acinetobacter
OTU_310	Bacteria	Proteobacteria	Gammaproteobacteria	c_Gammaproteobacteria	Moraxellaceae	Acinetobacter	g_Acinetobacter
OTU_311	Bacteria	Proteobacteria	Gammaproteobacteria	c_Gammaproteobacteria	Moraxellaceae	Enhydrobacter	g_Enhydrobacter
OTU_312	Bacteria	Proteobacteria	Gammaproteobacteria	c_Gammaproteobacteria	c_Gammaproteobacteria	c_Gammaproteobacteria	c_Gammaproteobacteria
OTU_313	Bacteria	Proteobacteria	Gammaproteobacteria	c_Gammaproteobacteria	c_Gammaproteobacteria	c_Gammaproteobacteria	c_Gammaproteobacteria
OTU_314	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Thiotrichaceae	Thiothrix	g_Thiothrix
OTU_315	Bacteria	Proteobacteria	Gammaproteobacteria	c_Gammaproteobacteria	c_Gammaproteobacteria	Catenococcus	g_Catenococcus
OTU_316	Bacteria	Proteobacteria	Gammaproteobacteria	c_Gammaproteobacteria	c_Gammaproteobacteria	Vibrio	g_Vibrio
OTU_317	Bacteria	Proteobacteria	Gammaproteobacteria	c_Gammaproteobacteria	c_Gammaproteobacteria	Vibrio	0908
OTU_318	Bacteria	Proteobacteria	Gammaproteobacteria	c_Gammaproteobacteria	c_Gammaproteobacteria	Vibrio	CAIM_1255
OTU_319	Bacteria	Proteobacteria	Gammaproteobacteria	c_Gammaproteobacteria	c_Gammaproteobacteria	Vibrio	albensis
OTU_320	Bacteria	Proteobacteria	Gammaproteobacteria	c_Gammaproteobacteria	c_Gammaproteobacteria	Vibrio	mediterranei
OTU_321	Bacteria	Proteobacteria	Gammaproteobacteria	c_Gammaproteobacteria	c_Gammaproteobacteria	Vibrio	vulnificus
OTU_322	Bacteria	Proteobacteria	Gammaproteobacteria	c_Gammaproteobacteria	c_Gammaproteobacteria	c_Gammaproteobacteria	c_Gammaproteobacteria
OTU_323	Bacteria	Spirochaetae	Spirochaetes	Spirochaetales	Leptospiraceae	f_Leptospiraceae	f_Leptospiraceae
OTU_324	Bacteria	Spirochaetae	Spirochaetes	Spirochaetales	Spirochaetaceae	f_Spirochaetaceae	f_Spirochaetaceae
OTU_325	Bacteria	Spirochaetae	Spirochaetes	Spirochaetales	Spirochaetaceae	Spirochaeta	g_Spirochaeta
OTU_326	Bacteria	Spirochaetae	Spirochaetes	Spirochaetales	Spirochaetaceae	Spirochaeta	B
OTU_327	Bacteria	Spirochaetae	Spirochaetes	Spirochaetales	Spirochaetaceae	Spirochaeta	MO-SPC1
OTU_328	Bacteria	Spirochaetae	Spirochaetes	Spirochaetales	Spirochaetaceae	Spirochaeta	cellobiosiphila
OTU_329	Bacteria	Spirochaetae	Spirochaetes	Spirochaetales	Spirochaetaceae	Treponema	g_Treponema
OTU_330	Bacteria	Spirochaetae	Spirochaetes	Spirochaetales	Spirochaetaceae	Treponema	zuelzerae
OTU_331	Bacteria	Spirochaetes	p_Spirochaetes	p_Spirochaetes	p_Spirochaetes	p_Spirochaetes	p_Spirochaetes
OTU_332	Bacteria	Tenericutes	Mollicutes	c_Mollicutes	c_Mollicutes	c_Mollicutes	c_Mollicutes
OTU_333	Bacteria	Tenericutes	Mollicutes	Acholeplasmatales	Acholeplasmataceae	Acholeplasma	g_Acholeplasma
OTU_334	Bacteria	Thermotogae	Thermotogae	Thermotogales	Thermotogaceae	f_Thermotogaceae	f_Thermotogaceae
OTU_335	Bacteria	Verrucomicrobia	p_Verrucomicrobia	p_Verrucomicrobia	p_Verrucomicrobia	p_Verrucomicrobia	p_Verrucomicrobia
OTU_336	Bacteria	Verrucomicrobia	Opitutae	Opitutales	Opitutaceae	Opitutus	g_Opitutus
OTU_337	Bacteria	Verrucomicrobia	Opitutae	Opitutales	Opitutaceae	Opitutus	VeSm13
OTU_338	Bacteria	Verrucomicrobia	Opitutae	Puniceicoccales	Puniceicoccaceae	Cerasicoccus	g_Cerasicoccus
